ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20947,HW335531,06/27/2013 04:27:00 AM,075XX S MERRILL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0414,004,8,43,01A,1191843,1855433,2013,03/19/2019 04:11:22 PM,41.75829879,-87.572473045,"(41.75829879, -87.572473045)"
20948,HW338396,06/27/2013 11:07:00 PM,036XX W 64TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0823,008,13,65,01A,1153256,1861928,2013,03/19/2019 04:11:22 PM,41.776971593,-87.71371998,"(41.776971593, -87.71371998)"
20949,HW338354,06/28/2013 04:06:00 AM,010XX W GARFIELD BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,true,false,0934,009,16,61,01A,1170142,1868342,2013,03/18/2019 04:08:09 PM,41.794221811,-87.651629776,"(41.794221811, -87.651629776)"
20950,HW338584,06/28/2013 02:35:00 AM,053XX S WINCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0932,009,16,61,01A,1164261,1869257,2013,03/19/2019 04:11:22 PM,41.796858634,-87.673169423,"(41.796858634, -87.673169423)"
20951,HW338584,06/28/2013 02:35:00 AM,053XX S WINCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0932,009,16,61,01A,1164261,1869257,2013,03/19/2019 04:11:22 PM,41.796858634,-87.673169423,"(41.796858634, -87.673169423)"
20953,HW340172,06/29/2013 03:59:00 AM,001XX W 116TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0522,005,34,53,01A,1177466,1827690,2013,03/19/2019 04:11:22 PM,41.682505174,-87.625998326,"(41.682505174, -87.625998326)"
20954,HW342105,06/30/2013 03:56:00 PM,024XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0334,003,7,43,01A,1193646,1855702,2013,03/19/2019 04:11:22 PM,41.758992998,-87.565856546,"(41.758992998, -87.565856546)"
20955,HW343994,07/01/2013 08:30:00 PM,104XX S GREEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2233,022,34,73,01A,1172495,1835577,2013,03/18/2019 04:08:09 PM,41.70425889,-87.643964069,"(41.70425889, -87.643964069)"
20956,HW344421,07/02/2013 05:55:00 AM,008XX W 99TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2232,022,34,73,01A,1172536,1839202,2013,03/19/2019 04:11:22 PM,41.714205528,-87.643707626,"(41.714205528, -87.643707626)"
20957,HW345588,07/02/2013 10:14:00 PM,013XX N LAMON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2533,025,37,25,01A,1143462,1908297,2013,03/19/2019 04:11:22 PM,41.904402735,-87.748467543,"(41.904402735, -87.748467543)"
20958,HW345748,07/03/2013 01:02:00 AM,050XX W NORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2533,025,37,25,01A,1142377,1910163,2013,03/19/2019 04:11:22 PM,41.909543478,-87.752406675,"(41.909543478, -87.752406675)"
20959,HW346348,07/03/2013 01:16:00 PM,087XX S LOOMIS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2222,022,21,71,01A,1168526,1846727,2013,03/19/2019 04:11:22 PM,41.734942451,-87.658177709,"(41.734942451, -87.658177709)"
20960,HW346859,07/03/2013 06:51:00 PM,024XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0422,004,7,46,01A,1193981,1853066,2013,03/19/2019 04:11:22 PM,41.7517514,-87.564715123,"(41.7517514, -87.564715123)"
20961,HW346938,07/03/2013 07:24:00 PM,066XX S CHAMPLAIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0321,003,20,42,01A,1181710,1861046,2013,03/18/2019 04:08:09 PM,41.773941358,-87.609435992,"(41.773941358, -87.609435992)"
20962,HW347684,07/04/2013 12:19:00 PM,073XX S WABASH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0323,003,6,69,01A,1177993,1856334,2013,03/18/2019 04:08:09 PM,41.761096166,-87.623204276,"(41.761096166, -87.623204276)"
20963,HW347770,07/04/2013 01:32:00 PM,006XX S FRANCISCO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1135,011,2,27,01A,1157135,1897125,2013,03/19/2019 04:11:22 PM,41.873478937,-87.69854618,"(41.873478937, -87.69854618)"
20964,HW348220,07/04/2013 09:38:00 PM,062XX S MARSHFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0714,007,16,67,01A,1166410,1863359,2013,03/19/2019 04:11:22 PM,41.780628239,-87.665456809,"(41.780628239, -87.665456809)"
20965,HW348705,07/05/2013 06:23:00 AM,074XX N PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2422,024,49,1,01A,1163828,1949275,2013,03/19/2019 04:11:22 PM,42.016442806,-87.672496668,"(42.016442806, -87.672496668)"
20966,HW347672,07/05/2013 02:47:00 PM,056XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0824,008,16,63,01A,1161322,1867544,2013,03/19/2019 04:11:22 PM,41.79221937,-87.683994549,"(41.79221937, -87.683994549)"
