# x1,x2
-8.765959211999999923e+01,4.172125112399999836e+01
-8.769464197599999977e+01,4.178020417699999456e+01
-8.772502339799999049e+01,4.188543073800000371e+01
-8.761896892100000400e+01,4.178472845800000357e+01
-8.764842099399999142e+01,4.179973245600000098e+01
-8.762641859100000374e+01,4.169527988499999793e+01
-8.771123654700001282e+01,4.185482706999999891e+01
-8.766155983999999535e+01,4.190478889100000259e+01
-8.778383549700001254e+01,4.190916305100000017e+01
-8.769231122799999412e+01,4.178414572300000174e+01
-8.772632421799998781e+01,4.187525920299999882e+01
-8.773608253700000148e+01,4.187422364300000055e+01
-8.770175162600000363e+01,4.181488735599999984e+01
-8.766267699899999855e+01,4.179406180499999834e+01
-8.775714465500000472e+01,4.190314034499999707e+01
-8.767268281700000898e+01,4.188415637399999980e+01
-8.762418714100000727e+01,4.170442121399999991e+01
-8.756504030899999691e+01,4.175275524399999938e+01
-8.777113586200000839e+01,4.192207631600000184e+01
-8.757229995200000872e+01,4.176984563100000258e+01
-8.758892534700001420e+01,4.176785243100000145e+01
-8.770071185700000171e+01,4.182176153500000026e+01
-8.766928493000000344e+01,4.185409820900000000e+01
-8.769153290799999922e+01,4.180005276099999634e+01
-8.775535096000000124e+01,4.188818618300000196e+01
-8.766502699000000121e+01,4.175033416300000511e+01
-8.765215148999999428e+01,4.172134721699999460e+01
-8.776208848100000637e+01,4.189372759599999796e+01
-8.768649802000000193e+01,4.194129307099999693e+01
-8.756246418799999276e+01,4.174385194399999932e+01
-8.760568121999999391e+01,4.170195363799999910e+01
-8.771008118700001432e+01,4.187363542099999592e+01
-8.752602514899999164e+01,4.170268678000000051e+01
-8.767095222700000079e+01,4.200782265800000204e+01
-8.758844871700000567e+01,4.176183933600000131e+01
-8.765095201700000871e+01,4.195363385199999584e+01
-8.775347498700000415e+01,4.188932656499999752e+01
-8.772975527299999499e+01,4.185596595900000239e+01
-8.760935183399999460e+01,4.172598413300000431e+01
-8.771076105299999881e+01,4.189551349199999919e+01
-8.776037354399998947e+01,4.187930900900000353e+01
-8.769045680899999695e+01,4.184898262099999755e+01
-8.756148455200001024e+01,4.169773816000000011e+01
-8.762488991299998986e+01,4.176479765300000224e+01
-8.766868897299998764e+01,4.181130888199999873e+01
-8.755038785600000040e+01,4.174737080900000308e+01
-8.771692156400000329e+01,4.187172940900000384e+01
-8.775267815099999780e+01,4.195334818399999932e+01
-8.763994366600000774e+01,4.173521532299999848e+01
-8.761528755299998750e+01,4.171929780300000346e+01
-8.767298323299999652e+01,4.201849825400000071e+01
-8.771876980000000401e+01,4.183515557100000137e+01
-8.756150895700000092e+01,4.175843971300000135e+01
-8.773959131499999842e+01,4.181086298299999982e+01
-8.780660829400000011e+01,4.201418107599999985e+01
-8.776903491600000962e+01,4.189194250599999947e+01
-8.766170869500000151e+01,4.177686317300000240e+01
-8.775405772000000582e+01,4.190043545900000055e+01
-8.762221607600000084e+01,4.168987506900000284e+01
-8.762425179100000605e+01,4.183468779700000084e+01
-8.767550953299999605e+01,4.199511034300000034e+01
-8.764779718500000172e+01,4.174330053300000287e+01
